eg:unit,rdf:value,rdfs:label,eg:recorded_at
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-01-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-02-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-03-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-04-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-05-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-06-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-07-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-08-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-09-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-10-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-11-01
$/liter,0.010252391948539285,"Crude oil, average($/bbl)",1960-12-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-01-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-02-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-03-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-04-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-05-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-06-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-07-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-08-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-09-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-10-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-11-01
$/liter,0.00987500259454686,"Crude oil, average($/bbl)",1961-12-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-01-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-02-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-03-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-04-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-05-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-06-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-07-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-08-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-09-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-10-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-11-01
$/liter,0.009560512066058107,"Crude oil, average($/bbl)",1962-12-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-01-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-02-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-03-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-04-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-05-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-06-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-07-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-08-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-09-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-10-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-11-01
$/liter,0.009434715854662604,"Crude oil, average($/bbl)",1963-12-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-01-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-02-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-03-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-04-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-05-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-06-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-07-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-08-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-09-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-10-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-11-01
$/liter,0.009120225326173851,"Crude oil, average($/bbl)",1964-12-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-01-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-02-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-03-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-04-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-05-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-06-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-07-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-08-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-09-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-10-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-11-01
$/liter,0.008931531009080599,"Crude oil, average($/bbl)",1965-12-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-01-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-02-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-03-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-04-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-05-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-06-01
$/liter,0.008554142374894096,"Crude oil, average($/bbl)",1966-07-01
